iter	Passed	Remaining
232	8108	26693
233	8144	26662
234	8181	26632
235	8214	26592
236	8248	26556
237	8285	26528
238	8323	26504
239	8358	26467
240	8390	26423
241	8420	26375
242	8452	26329
243	8485	26290
244	8516	26245
245	8549	26204
246	8581	26162
247	8612	26114
248	8646	26077
249	8680	26040
250	8714	26004
251	8749	25971
252	8783	25934
253	8817	25897
254	8847	25849
255	8883	25818
256	8916	25778
257	8947	25733
258	8980	25694
259	9013	25653
260	9046	25613
261	9080	25578
262	9112	25536
263	9144	25494
264	9178	25456
265	9215	25429
266	9249	25393
267	9284	25358
268	9318	25322
269	9351	25282
270	9383	25240
271	9414	25197
272	9449	25164
273	9483	25126
274	9515	25087
275	9549	25051
276	9582	25011
277	9617	24979
278	9652	24944
279	9686	24908
280	9721	24874
281	9755	24839
282	9786	24795
283	9821	24761
284	9854	24723
285	9888	24687
286	9921	24647
287	9952	24604
288	9985	24567
289	10019	24530
290	10054	24496
291	10087	24459
292	10124	24431
293	10157	24391
294	10193	24360
295	10224	24318
296	10259	24283
297	10290	24241
298	10322	24201
299	10354	24159
300	10386	24120
301	10425	24097
302	10459	24059
303	10497	24034
304	10535	24007
305	10569	23971
306	10601	23930
307	10633	23891
308	10665	23851
309	10701	23819
310	10738	23789
311	10773	23757
312	10805	23716
313	10839	23680
314	10874	23647
315	10909	23613
316	10946	23585
317	10983	23556
318	11016	23518
319	11055	23491
320	11091	23462
321	11126	23427
322	11162	23396
323	11199	23366
324	11235	23335
325	11271	23303
326	11306	23270
327	11344	23241
328	11378	23207
329	11418	23182
330	11454	23150
331	11490	23120
332	11527	23090
333	11567	23066
334	11603	23034
335	11641	23005
336	11677	22972
337	11712	22939
338	11749	22909
339	11782	22871
340	11814	22832
341	11845	22790
342	11879	22754
343	11911	22715
344	11948	22684
345	11980	22644
346	12012	22606
347	12045	22568
348	12077	22527
349	12113	22496
350	12145	22456
351	12181	22425
352	12214	22387
353	12248	22350
354	12282	22315
355	12318	22283
356	12348	22241
357	12384	22208
358	12415	22168
359	12449	22131
360	12481	22093
361	12514	22056
362	12549	22021
363	12584	21988
364	12617	21951
365	12649	21912
366	12681	21872
367	12713	21834
368	12746	21797
369	12781	21763
370	12815	21728
371	12851	21695
372	12882	21655
373	12915	21617
374	12947	21578
375	12983	21546
376	13018	21512
377	13052	21478
378	13085	21441
379	13122	21410
380	13156	21375
381	13190	21339
382	13222	21300
383	13254	21262
384	13285	21222
385	13318	21185
386	13350	21147
387	13386	21114
388	13419	21078
389	13454	21043
390	13485	21004
391	13517	20965
392	13549	20927
393	13581	20889
394	13615	20854
395	13652	20822
396	13681	20781
397	13713	20743
398	13743	20701
399	13777	20666
400	13811	20631
